a,t_voted
BJP-Haryana-Faridabad,652516
BJP-Himachal Pradesh-Mandi,362824
BJP-Himachal Pradesh-Shimla,385973
BJP-Himachal Pradesh-Hamirpur,448035
BJP-Himachal Pradesh-Kangra,456163
BJP-Jammu & Kashmir-Ladakh,31111
BJP-Jammu & Kashmir-Udhampur,487369
BJP-Jammu & Kashmir-Jammu,619995
BJP-Jharkhand-Lohardaga,226666
BJP-Jharkhand-Khunti,269185
BJP-Jharkhand-Chatra,295862
BJP-Jharkhand-Singhbhum,303131
BJP-Jharkhand-Kodarma,365410
BJP-Jharkhand-Godda,380500
BJP-Jharkhand-Giridih,391913
BJP-Jharkhand-Hazaribagh,406931
BJP-Jharkhand-Ranchi,448729
BJP-Jharkhand-Jamshedpur,464153
BJP-Jharkhand-Palamau,476513
BJP-Jharkhand-Dhanbad,543491
BJP-Karnataka-Bidar,459290
BJP-Karnataka-Bijapur,471757
BJP-Karnataka-Koppal,486383
BJP-Karnataka-Mysore,503908
BJP-Karnataka-Davanagere,518894
BJP-Karnataka-Bellary,534406
BJP-Karnataka-Dharwad,545395
BJP-Karnataka-Uttara Kannada,546939
BJP-Karnataka-Belgaum,554417
BJP-Karnataka-Bangalore central,557130
BJP-Karnataka-Haveri,566790
BJP-Karnataka-Bagalkot,571548
BJP-Karnataka-Udupi Chikmagalur,581168
BJP-Karnataka-Shimoga,606216
BJP-Karnataka-Bangalore South,633816
BJP-Karnataka-Dakshina Kannada,642739
BJP-Karnataka-Bangalore North,718326
BJP-Madhya Pradesh-SATNA,375288
BJP-Madhya Pradesh-MORENA,375567
BJP-Madhya Pradesh-REWA,383320
BJP-Madhya Pradesh-BHIND,404474
BJP-Madhya Pradesh-TIKAMGARH,422979
BJP-Madhya Pradesh-GWALIOR,442796
BJP-Madhya Pradesh-KHAJURAHO,474966
BJP-Madhya Pradesh-SIDHI,475678
BJP-Madhya Pradesh-BALAGHAT,480594
BJP-Madhya Pradesh-SAGAR,482580
BJP-Madhya Pradesh-DAMOH,513079
BJP-Madhya Pradesh-SHAHDOL,525419
BJP-Madhya Pradesh-RATLAM,545980
BJP-Madhya Pradesh-DHAR,558387
BJP-Madhya Pradesh-JABALPUR,564609
BJP-Madhya Pradesh-MANDLA,585720
BJP-Madhya Pradesh-RAJGARH,596727
BJP-Madhya Pradesh-UJJAIN,641101
BJP-Madhya Pradesh-BETUL,643651
BJP-Madhya Pradesh-KHARGONE,649354
BJP-Madhya Pradesh-DEWAS,665646
BJP-Madhya Pradesh-HOSHANGABAD,669128
BJP-Madhya Pradesh-MANDSOUR,698335
BJP-Madhya Pradesh-BHOPAL,714178
BJP-Madhya Pradesh-VIDISHA,714348
BJP-Madhya Pradesh-KHANDWA,717357
BJP-Madhya Pradesh-INDORE,854972
BJP-Maharashtra-Bhiwandi,411070
BJP-Maharashtra-Akola,456472
BJP-Maharashtra-Mumbai North central,478535
BJP-Maharashtra-Chandrapur,508049
BJP-Maharashtra-Solapur,517879
BJP-Maharashtra-Mumbai North East,525285
BJP-Maharashtra-Dhule,529450
BJP-Maharashtra-Palghar,533201
BJP-Maharashtra-Gadchiroli Chimur,535982
BJP-Maharashtra-Wardha,537518
BJP-Maharashtra-Dindori,542784
BJP-Maharashtra-Pune,569825
BJP-Maharashtra-Nandurbar,579486
BJP-Maharashtra-Nagpur,587767
BJP-Maharashtra-Jalna,591428
BJP-Maharashtra-Ahmadnagar,605185
BJP-Maharashtra-Raver,605452
BJP-Maharashtra-Bhandara   gondiya,606129
BJP-Maharashtra-Sangli,611563
BJP-Maharashtra-Latur,616509
BJP-Maharashtra-Beed,635995
BJP-Maharashtra-Jalgaon,647773
BJP-Maharashtra-Mumbai North,664004
BJP-NCT OF Delhi-CHANDNI CHOWK,437938
BJP-NCT OF Delhi-NEW DELHI,453350
BJP-NCT OF Delhi-SOUTH DELHI,497980
BJP-NCT OF Delhi-EAST DELHI,572202
BJP-NCT OF Delhi-NORTH EAST DELHI,596125
BJP-NCT OF Delhi-NORTH WEST DELHI,629860
BJP-NCT OF Delhi-WEST DELHI,651395
BJP-Punjab-Hoshiarpur,346643
BJP-Punjab-Gurdaspur,482255
BJP-Rajasthan-Dausa,315059
BJP-Rajasthan-KARAULI DHOLPUR,402407
BJP-Rajasthan-Nagaur,414791
BJP-Rajasthan-Jhunjhunu,488182
BJP-Rajasthan-Barmer,488747
BJP-Rajasthan-Sikar,499428
BJP-Rajasthan-TONK SAWAI MADHOPUR,548537
BJP-Rajasthan-Banswara,577433
BJP-Rajasthan-BHARATPUR,579825
BJP-Rajasthan-Jalore,580508
BJP-Rajasthan-Bikaner,584932
BJP-Rajasthan-Churu,595756
BJP-Rajasthan-Bhilwara,630317
BJP-Rajasthan-Jaipur Rural,632930
BJP-Rajasthan-Ajmer,637874
BJP-Rajasthan-Alwar,642278
BJP-Rajasthan-Rajsamand,644794
BJP-Rajasthan-Kota,644822
BJP-Rajasthan-Ganganagar,658130
BJP-Rajasthan-Udaipur,660373
BJP-Rajasthan-JHALAWAR BARAN,676102
BJP-Rajasthan-Chittorgarh,703236
BJP-Rajasthan-Pali,711772
BJP-Rajasthan-Jodhpur,713515
BJP-Rajasthan-Jaipur,863358
BJP-Tamil Nadu-Kanniyakumari,372906
BJP-Uttar Pradesh-Domariyaganj,298845
BJP-Uttar Pradesh-Ghazipur,306929
BJP-Uttar Pradesh-Allahabad,313772
BJP-Uttar Pradesh-Lalganj,324016
BJP-Uttar Pradesh-Kaushambi,331724
BJP-Uttar Pradesh-Banda,342066
BJP-Uttar Pradesh-Shrawasti,345964
BJP-Uttar Pradesh-Sant Kabir Nagar,348892
BJP-Uttar Pradesh-Basti,357680
BJP-Uttar Pradesh-Rampur,358616
BJP-Uttar Pradesh-Gonda,359639
BJP-Uttar Pradesh-Ballia,359758
BJP-Uttar Pradesh-Sambhal,360242
BJP-Uttar Pradesh-Dhaurahra,360357
BJP-Uttar Pradesh-Hardoi,360501
BJP-Uttar Pradesh-Jaunpur,367149
BJP-Uttar Pradesh-Nagina,367825
BJP-Uttar Pradesh-Kushi Nagar,370051
BJP-Uttar Pradesh-Robertsganj,378211
BJP-Uttar Pradesh-Ghosi,379797
BJP-Uttar Pradesh-Kaiserganj,381500
BJP-Uttar Pradesh-Salempur,392213
BJP-Uttar Pradesh-Kheri,398578
BJP-Uttar Pradesh-Bhadohi,403695
BJP-Uttar Pradesh-Farrukhabad,406195
BJP-Uttar Pradesh-Aonla,409907
BJP-Uttar Pradesh-Sultanpur,410348
BJP-Uttar Pradesh-Misrikh,412575
BJP-Uttar Pradesh-Chandauli,414135
BJP-Uttar Pradesh-Sitapur,417546
BJP-Uttar Pradesh-Bansgaon,417959
BJP-Uttar Pradesh-Baghpat,423475
BJP-Uttar Pradesh-Fatehpur Sikri,426589
BJP-Uttar Pradesh-Ambedkar Nagar,432104
BJP-Uttar Pradesh-Bahraich,432392
BJP-Uttar Pradesh-Machhlishahr,438210
BJP-Uttar Pradesh-Etawah,439646
BJP-Uttar Pradesh-Hamirpur,453884
BJP-Uttar Pradesh-Barabanki,454214
BJP-Uttar Pradesh-Mohanlalganj,455274
BJP-Uttar Pradesh-Maharajganj,471542
BJP-Uttar Pradesh-Saharanpur,472999
BJP-Uttar Pradesh-Kanpur,474712
BJP-Uttar Pradesh-Etah,474978
BJP-Uttar Pradesh-Akbarpur,481584
BJP-Uttar Pradesh-Moradabad,485224
BJP-Uttar Pradesh-Fatehpur,485994
BJP-Uttar Pradesh-Bijnor,486913
BJP-Uttar Pradesh-Faizabad,491761
BJP-Uttar Pradesh-Deoria,496500
BJP-Uttar Pradesh-Phulpur,503564
BJP-Uttar Pradesh-Aligarh,514622
BJP-Uttar Pradesh-Bareilly,518258
BJP-Uttar Pradesh-Unnao,518834
BJP-Uttar Pradesh-Shahjahanpur,525132
BJP-Uttar Pradesh-Amroha,528880
BJP-Uttar Pradesh-Meerut,532981
BJP-Uttar Pradesh-Gorakhpur,539127
BJP-Uttar Pradesh-Hathras,544277
BJP-Uttar Pradesh-Pilibhit,546934
BJP-Uttar Pradesh-Jalaun,548631
BJP-Uttar Pradesh-Lucknow,561106
BJP-Uttar Pradesh-Kairana,565909
BJP-Uttar Pradesh-Mathura,574633
BJP-Uttar Pradesh-Jhansi,575889
BJP-Uttar Pradesh-Varanasi,581022
BJP-Uttar Pradesh-Agra,583716
BJP-Uttar Pradesh-Gautam Buddha Nagar,599702
BJP-Uttar Pradesh-Bulandshahr,604449
BJP-Uttar Pradesh-Muzaffarnagar,653391
BJP-Uttar Pradesh-Ghaziabad,758482
BJP-Uttarakhand-Almora,348186
BJP-Uttarakhand-Garhwal,405690
BJP-Uttarakhand-Tehri Garhwal,446733
BJP-Uttarakhand-Hardwar,592320
BJP-Uttarakhand-Nainital udhamsingh Nagar,636769
BJP-West Bengal-Asansol,419983
BJP-West Bengal-Darjeeling,488257
Others-Bihar-Jahanabad,322647
Others-Bihar-Karakat,338892
Others-Bihar-Sitamarhi,411265
Others-Kerala-Thrissur,389209
CPM-Kerala-Kasaragod,384964
CPM-Kerala-Attingal,392478
CPM-Kerala-Alathur,411808
CPM-Kerala-Palakkad,412897
CPM-Kerala-Kannur,427622
CPM-Tripura-Tripura East,623771
CPM-Tripura-Tripura West,671665
CPM-West Bengal-Raiganj,317515
CPM-West Bengal-Murshidabad,426947
INC-Andhra Pradesh-Nagarkurnool,420075
INC-Andhra Pradesh-Nalgonda,472093
INC-Arunachal Pradesh-ARUNACHAL EAST,118455
INC-Assam-Autonomous District,213152
INC-Assam-Silchar,336451
INC-Assam-Kaliabor,443315
INC-Bihar-Supaul,332927
INC-Bihar-Kishanganj,493461
INC-Haryana-Rohtak,490063
INC-Karnataka-Kolar,418926
INC-Karnataka-Chikkballapur,424800
INC-Karnataka-Tumkur,429868
INC-Karnataka-Raichur,443659
INC-Karnataka-Chitradurga,467511
INC-Karnataka-Chikkodi,474373
INC-Karnataka-Gulbarga,507193
INC-Karnataka-Chamarajanagar,567782
INC-Karnataka-Bangalore Rural,652723
INC-Kerala-Thiruvananthapuram,297806
INC-Kerala-Ernakulam,353841
INC-Kerala-Pathanamthitta,358842
INC-Kerala-Wayanad,377035
INC-Kerala-Kozhikode,397615
INC-Kerala-Mavelikkara,402432
INC-Kerala-Vadakara,416479
INC-Kerala-Alappuzha,462525
INC-Madhya Pradesh-GUNA,517036
INC-Madhya Pradesh-CHHINDWARA,559755
INC-Maharashtra-Hingoli,467397
INC-Maharashtra-Nanded,493075
INC-Manipur-Inner manipur,292102
INC-Manipur-Outer manipur,296770
INC-Meghalaya-Shillong,209340
INC-Mizoram-MIZORAM,210485
INC-Punjab-Ludhiana,300459
INC-Punjab-Jalandhar,380479
INC-Punjab-Amritsar,482876
INC-Uttar Pradesh-Amethi,408651
INC-Uttar Pradesh-Rae Bareli,526434
INC-West Bengal-Jangipur,378201
INC-West Bengal-Maldaha Dakshin,380291
INC-West Bengal-Maldaha Uttar,388609
INC-West Bengal-Baharampur,583549
Others-Assam-Kokrajhar,634428
Others-Kerala-Chalakudy,358440
Others-Kerala-Idukki,382019
Others-Haryana-Hisar,494478
Others-Haryana-Sirsa,506370
Others-Kerala-Ponnani,378503
Others-Kerala-Malappuram,437723
Others-Karnataka-Hassan,509841
Others-Karnataka-Mandya,524370
Others-Bihar-Nalanda,321982
Others-Bihar-Purnia,418826
Others-Jammu & Kashmir-Srinagar,157923
Others-Jammu & Kashmir-Baramulla,175277
Others-Jammu & Kashmir-Anantnag,200429
Others-Jharkhand-Dumka,335815
Others-Jharkhand-Rajmahal,379507
Others-Kerala-Kottayam,424194
Others-Bihar-Samastipur (SC),270401
Others-Bihar-Jamui (SC),285354
Others-Bihar-Vaishali,305450
Others-Bihar-Khagaria,313806
Others-Bihar-Munger,352911
Others-Bihar-Hajipur (SC),455652
NCP-Bihar-Katihar,431292
NCP-Lakshadweep-Lakshadweep,21665
NCP-Maharashtra-Madha,489989
NCP-Maharashtra-Baramati,521562
NCP-Maharashtra-Satara,522531
NCP-Maharashtra-Kolhapur,607665
Others-Meghalaya-Tura,239301
Others-Nagaland-Nagaland,713372
Others-Tamil Nadu-Dharmapuri,468194
Others-Bihar-Banka,285150
Others-Bihar-Bhagalpur,367623
Others-Bihar-Madhepura,368937
Others-Bihar-Araria,407978
Others-Kerala-Kollam,408528
Others-Punjab-Anandpur Sahib,347394
Others-Punjab-Khadoor Sahib,467332
Others-Punjab-Firozpur,487932
Others-Punjab-Bathinda,514727
Others-Sikkim-Sikkim,163698
SHS-Maharashtra-Mumbai   South,374609
SHS-Maharashtra-Mumbai South central,381008
SHS-Maharashtra-Raigad,396178
SHS-Maharashtra-Kalyan,440892
SHS-Maharashtra-Mumbai North West,464820
SHS-Maharashtra-Amravati,467212
SHS-Maharashtra-Yavatmal Washim,477905
SHS-Maharashtra-Ratnagiri   sindhudurg,493088
SHS-Maharashtra-Nashik,494735
SHS-Maharashtra-Buldhana,509145
SHS-Maharashtra-Maval,512226
SHS-Maharashtra-Ramtek,519892
SHS-Maharashtra-Aurangabad,520902
SHS-Maharashtra-Shirdi,532936
SHS-Maharashtra-Parbhani,578455
SHS-Maharashtra-Thane,595364
SHS-Maharashtra-Osmanabad,607699
SHS-Maharashtra-Shirur,643415
SP-Uttar Pradesh-Azamgarh,340306
SP-Uttar Pradesh-Kannauj,489164
SP-Uttar Pradesh-Badaun,498378
SP-Uttar Pradesh-Firozabad,534583
SP-Uttar Pradesh-Mainpuri,595918
Others-Maharashtra-Hatkanangle,640428
TDP-Andhra Pradesh-Kakinada,514402
TDP-Andhra Pradesh-Malkajgiri,523356
TDP-Andhra Pradesh-Vizianagaram,536549
TDP-Andhra Pradesh-Srikakulam,556545
TDP-Andhra Pradesh-Anakapalli,568463
TDP-Andhra Pradesh-Bapatla,578145
TDP-Andhra Pradesh-Machilipatnam,587280
TDP-Andhra Pradesh-Vijayawada,592953
TDP-Andhra Pradesh-Amalapuram,594547
TDP-Andhra Pradesh-Chittoor,594862
TDP-Andhra Pradesh-Hindupur,604291
TDP-Andhra Pradesh-Anantapur,610288
TDP-Andhra Pradesh-Guntur,618417
TDP-Andhra Pradesh-Eluru,623471
TDP-Andhra Pradesh-Rajahmundry,630573
TDP-Andhra Pradesh-Narasaraopet,632464
TRS-Andhra Pradesh-Mahabubabad,320569
TRS-Andhra Pradesh-Mahbubnagar,334228
TRS-Andhra Pradesh-Adilabad,430847
TRS-Andhra Pradesh-CHELVELLA,435077
TRS-Andhra Pradesh-Nizamabad,439307
TRS-Andhra Pradesh-Bhongir,448164
TRS-Andhra Pradesh-Karimnagar,505358
TRS-Andhra Pradesh-Zahirabad,508661
TRS-Andhra Pradesh-Peddapalle,565496
TRS-Andhra Pradesh-Medak,657492
TRS-Andhra Pradesh-Warangal,661639
YSRCP-Andhra Pradesh-Aruku,413191
YSRCP-Andhra Pradesh-Khammam,422434
YSRCP-Andhra Pradesh-Kurnool,472782
YSRCP-Andhra Pradesh-Nellore,576396
YSRCP-Andhra Pradesh-Tirupati,580376
YSRCP-Andhra Pradesh-Ongole,589861
YSRCP-Andhra Pradesh-Rajampet,601752
YSRCP-Andhra Pradesh-Nandyal,622411
YSRCP-Andhra Pradesh-Kadapa,671983
