long1,lat,id1,statename,pcname,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,party1,sex_ratio_e,f_vote_turnout,m_vote_turnout,color,l_t,l_t1
76.904137,28.158443,160,Haryana,Gurgaon,984370,860536,1844906,727100,593187,1320287,BJP,874,68.900002,73.900002,#E69F19,10,7.8068943
80.894325,26.933798,464,Uttar Pradesh,Mohanlalganj,995313,842841,1838194,637851,476997,1114848,BJP,847,56.599998,64.099998,#E69F19,10,7.7784915
73.881729,18.546526,308,Maharashtra,Pune,949561,886266,1835835,533792,459588,993382,BJP,933,51.900002,56.200001,#E69F19,10,7.7685094
82.340363,25.392267,486,Uttar Pradesh,Bhadohi,1016000,818442,1834598,527390,454368,981760,BJP,806,55.5,51.900002,#E69F19,10,7.7632747
77.292152,28.604534,118,NCT OF Delhi,EAST DELHI,1023325,806102,1829578,676930,518463,1195428,BJP,788,64.300003,66.199997,#E69F19,10,7.7420321
72.394928,24.987535,363,Rajasthan,Jalore,964046,860922,1824968,581247,506374,1087621,BJP,893,58.799999,60.299999,#E69F19,10,7.7225246
80.401802,22.705734,257,Madhya Pradesh,MANDLA,926166,898514,1824702,641219,575693,1216914,BJP,970,64.099998,69.199997,#E69F19,10,7.7213988
84.543678,25.469048,76,Bihar,Arrah,1016299,808210,1824515,517499,375555,893054,BJP,795,46.5,50.900002,#E69F19,10,7.7206078
73.990791,18.915007,276,Maharashtra,Shirur,973132,850960,1824112,613290,475412,1088702,SHS,874,55.900002,63,#EC5B13,10,7.7189021
78.478775,17.356205,42,Andhra Pradesh,Hyderabad,960480,862516,1823217,525811,445415,971226,AIMIM,898,51.599998,54.700001,red,10,7.7151151
74.52021,24.577301,369,Rajasthan,Chittorgarh,929217,890287,1819506,630617,539259,1169876,BJP,958,60.599998,67.900002,#E69F19,10,7.6994114
73.718689,24.297586,372,Rajasthan,Udaipur,930007,887933,1817940,599307,589859,1189166,BJP,955,66.400002,64.400002,#E69F19,10,7.6927848
78.24704,27.37204,497,Uttar Pradesh,Agra,1003777,810896,1814739,621497,448004,1069503,BJP,808,55.200001,61.900002,#E69F19,10,7.6792397
74.211212,18.29352,297,Maharashtra,Baramati,960395,853153,1813553,602117,463496,1065613,NCP,888,54.299999,62.700001,blue,10,7.674221
79.693695,26.879986,491,Uttar Pradesh,Kannauj,1000035,808799,1808886,629125,484744,1113869,SP,809,59.900002,62.900002,green,10,7.6544719
83.982323,26.624756,465,Uttar Pradesh,Deoria,997314,809319,1806926,508083,462357,970443,BJP,811,57.099998,50.900002,#E69F19,10,7.6461782
80.806992,25.873335,476,Uttar Pradesh,Fatehpur,985898,818821,1804753,574629,481306,1055940,BJP,831,58.799999,58.299999,#E69F19,10,7.6369829
76.47422,19.396156,279,Maharashtra,Parbhani,945901,857880,1803792,637677,523946,1161624,SHS,907,61.099998,67.400002,#EC5B13,10,7.6329165
83.472435,25.595512,483,Uttar Pradesh,Ghazipur,983352,818105,1801519,528986,457272,986259,BJP,832,55.900002,53.799999,#E69F19,10,7.6232977
80.222801,12.954308,384,Tamil Nadu,Chennai South,901211,894252,1795776,556403,527433,1083847,ADMK,992,59,61.700001,red,10,7.5989957
78.049622,28.001917,441,Uttar Pradesh,Aligarh,965995,827010,1793126,596880,467715,1064597,BJP,856,56.599998,61.799999,#E69F19,10,7.5877824
75.839211,18.9468,277,Maharashtra,Beed,963569,829083,1792652,680369,551091,1231460,BJP,860,66.5,70.599998,#E69F19,10,7.5857763
82.178528,27.614986,496,Uttar Pradesh,Shrawasti,976415,811613,1788080,559351,420598,979951,BJP,831,51.799999,57.299999,#E69F19,10,7.5664296
82.640617,26.826399,495,Uttar Pradesh,Basti,962508,824831,1787476,549704,498809,1048521,BJP,857,60.5,57.099998,#E69F19,10,7.5638738
72.840561,19.212572,301,Maharashtra,Mumbai North,972753,811110,1783870,527247,418394,945642,BJP,834,51.599998,54.200001,#E69F19,10,7.5486145
86.130844,25.495287,75,Bihar,Begusarai,949825,828874,1778759,545214,532151,1077365,BJP,873,64.199997,57.400002,#E69F19,10,7.5269866
72.854828,19.13846,302,Maharashtra,Mumbai North West,986704,788712,1775416,504202,393043,897245,SHS,799,49.799999,51.099998,#EC5B13,10,7.5128407
78.678688,29.203663,500,Uttar Pradesh,Moradabad,961935,810050,1771985,626722,499370,1126092,BJP,842,61.599998,65.199997,#E69F19,10,7.498322
75.367752,27.547125,354,Rajasthan,Sikar,943691,826191,1769882,552960,507618,1060578,BJP,875,61.400002,58.599998,#E69F19,10,7.4894228
